COMPANY,A01C,A01G,A01H,A01K,A01M,A01N,A01P,A21D,A23B,A23C,A23D,A23F,A23G,A23J,A23K,A23L,A23P,A24B,A24F,A41D,A44B,A45B,A45C,A45D,A47C,A47F,A47G,A47K,A47L,A61B,A61C,A61D,A61F,A61G,A61H,A61J,A61K,A61L,A61M,A61N,A61P,A61Q,A62B,A62D,A63B,A63F,B01D,B01F,B01J,B01L,B02C,B03B,B03C,B04B,B04C,B05B,B05C,B05D,B06B,B07B,B07C,B08B,B09B,B21D,B23K,B23P,B24B,B24D,B25H,B25J,B26D,B26F,B27K,B27N,B28B,B29B,B29C,B29D,B29K,B29L,B30B,B31B,B32B,B33Y,B41F,B41J,B41K,B41M,B43K,B43M,B60C,B60J,B60K,B60N,B60R,B63B,B64D,B65B,B65C,B65D,B65G,B65H,B66B,B66F,B67B,B67C,B67D,B81B,B81C,B82Y,C01B,C01D,C01F,C01G,C02F,C03B,C03C,C04B,C05B,C05D,C05G,C06B,C06D,C07B,C07C,C07D,C07H,C07K,C07M,C08B,C08C,C08F,C08G,C08H,C08J,C08K,C08L,C09B,C09C,C09D,C09F,C09J,C09K,C10B,C10G,C10L,C10M,C10N,C11B,C11C,C11D,C12C,C12F,C12G,C12H,C12J,C12M,C12N,C12P,C12Q,C12R,C13B,C22B,C22C,C23C,C23F,C25B,C25D,C25F,C30B,C40B,C01F,C02G,C03D,C04B,D04C,D04H,D06M,D06P,D21B,D21C,D21H,E01B,E02B,E04B,E04C,E04F,E04H,E06B,E06C,F21B,F01N,F15B,F16B,F16C,F16D,F16F,F16K,F17C,F21S,F21V,F21Y,F23J,F23Q,F24F,F26B,F28D,G01B,G01D,G01F,C01G,G01H,G01J,G01M,G01P,G01R,G01V,G02B,G02C,G02F,G03B,G03C,G03F,G03G,G04F,G05B,G05F,G06G,C06K,G06M,G06N,G06Q,C07F,G07G,G08B,C08G,G09B,G09F,C09G,G11B,G11C,G16B,G16C,G16H,G21F,G21G,G21K,H01B,H01F,H01G,H01H,H01J,H01L,H01M,H01Q,H01R,H01S,H01T,H02H,H02J,H02K,H02M,H02N,H03L,H03M,H04B,H04L,H04N,H04R,H04W,H05B,H05K
JCR PHARMA,0,0,0,0.005928854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001976285,0,0.001976285,0,0,0,0.007905138,0.539525692,0.011857708,0.061264822,0,0.324110672,0,0,0,0,0,0.007905138,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013833992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005928854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007905138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001976285,0,0,0,0,0,0,0,0,0,0,0,0
KAKEN PHARMA,0.001984127,0.000992063,0,0,0.000992063,0.027777778,0.017857143,0,0,0,0,0,0,0,0,0.000992063,0,0,0,0,0,0,0,0.000992063,0,0,0,0,0,0.000992063,0,0,0.00297619,0,0,0.004960317,0.404761905,0.016865079,0.008928571,0,0.494047619,0,0,0,0,0,0.000992063,0,0,0,0,0,0,0,0.001984127,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992063,0,0,0,0,0,0,0,0,0.003968254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KISSEI PHARMA,0,0,0,0.000323939,0,0.006154843,0,0,0,0,0,0,0,0,0,0.007450599,0,0,0,0,0,0,0,0,0,0,0,0.000323939,0,0.000323939,0,0,0,0,0.000323939,0.000647878,0.461289278,0.001295756,0,0,0.514091351,0,0,0,0,0,0.000323939,0,0.000323939,0,0,0,0.000647878,0,0,0,0,0,0,0.002591513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000647878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0.000323939,0,0,0.000647878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KYORIN HOLDINGS INC,0,0,0,0.000273224,0,0.001639344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001092896,0,0.000273224,0,0,0.000819672,0.388797814,0.000546448,0.000273224,0.000273224,0.591530055,0.000273224,0,0,0,0,0.000819672,0.000273224,0.000819672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273224,0,0,0,0,0,0.000273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000546448,0,0.001639344,0.000819672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004918033,0,0,0,0,0.001639344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001092896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000546448,0,0,0,0,0,0,0,0,0,0,0.000273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KYOWA KIRIN CO LTD,0,0.000555803,0,0.007558915,0,0.003890618,0.000111161,0.002000889,0,0,0.000444642,0.000444642,0.002890173,0.000666963,0.009226323,0.031124944,0,0,0,0.000111161,0,0,0,0,0.000111161,0,0.000111161,0,0,0,0,0.000111161,0.000222321,0,0,0.002445531,0.433859493,0.001000445,0.000889284,0.000111161,0.457425522,0.003334815,0.000111161,0,0,0,0.002779013,0.000111161,0.004112939,0,0,0,0,0.000111161,0,0.000111161,0,0.000222321,0.000111161,0,0,0,0,0,0.000111161,0,0,0,0,0,0.000111161,0,0,0,0,0,0.000111161,0,0,0,0.000222321,0.000111161,0.001445087,0,0,0,0,0.001445087,0,0,0,0,0,0,0,0,0,0.000222321,0,0.003112494,0.001000445,0.000555803,0,0,0,0,0,0,0,0.000111161,0.000444642,0,0.000444642,0,0.000555803,0,0,0,0,0,0,0,0,0.001222766,0.000111161,0,0,0,0,0,0,0,0.001000445,0,0,0,0.000222321,0.000222321,0,0,0,0,0.000555803,0,0,0.000111161,0,0,0.000111161,0,0,0.000111161,0.000111161,0.000778124,0.000111161,0.000111161,0.000444642,0,0.001000445,0.000222321,0.001778568,0,0,0,0,0,0.001222766,0,0,0.002334371,0.000666963,0,0,0,0,0,0.000111161,0.000555803,0,0,0,0,0.000111161,0,0,0,0,0,0,0,0,0,0.000111161,0,0,0,0,0,0.000111161,0,0,0,0,0,0,0,0.000222321,0,0,0,0,0,0,0,0,0,0,0.000222321,0,0,0,0.000222321,0.000444642,0,0,0.000111161,0,0,0,0,0,0.000333482,0,0,0,0,0,0.000111161,0,0.007781236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111161,0.000666963,0,0,0,0
MOCHIDA PHARMA,0,0,0,0.003458878,0,0.009607994,0.00076864,0,0,0,0.001921599,0,0.00038432,0,0,0.006149116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076864,0,0,0.00038432,0,0,0.001921599,0.483089931,0.021521906,0.00038432,0,0.43812452,0.013066872,0,0,0,0,0,0,0.00038432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001537279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076864,0.00038432,0.004227517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001537279,0,0,0,0,0,0.003843198,0,0,0,0,0,0,0.00038432,0,0,0,0,0,0.001537279,0,0,0,0,0,0.00076864,0.001152959,0,0,0,0,0,0,0,0,0.00038432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001152959,0,0,0,0,0,0,0,0,0.00038432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NICHI-IKO PHARMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674576271,0,0,0,0.294915254,0,0,0,0,0,0.003389831,0.006779661,0.013559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIPPON CHEMIPHAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002080444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000693481,0.47295423,0.004854369,0,0,0.514563107,0,0,0,0,0,0,0,0.000693481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002080444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000693481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001386963,0,0,0,0
NIPPON SHINYAKU,0,0,0,0.001577287,0,0.002103049,0,0,0,0,0,0,0.001051525,0.000525762,0,0.01997897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051525,0,0,0,0,0,0.002628812,0.414826498,0.002103049,0,0,0.515247108,0.015772871,0,0,0,0,0.001051525,0.002628812,0.006309148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001577287,0,0,0,0,0,0,0,0,0.001577287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000525762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001577287,0.001051525,0,0,0,0,0,0.005257624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSUI PHARMA,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255102041,0,0,0,0.520408163,0,0,0,0,0,0,0,0.010204082,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051020408,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040816327,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0.030612245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONO PHARMA,0,0,0,0.001141944,0,0.003425831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342583,0,0,0.000685166,0.359369647,0.001598721,0.000114194,0.000114194,0.62430056,0.000114194,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000913555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262647,0,0,0,0,0.000799361,0.001027749,0,0,0.000342583,0,0,0,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228389,0,0.000456777,0,0,0,0,0,0,0,0.000114194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000228389,0,0,0,0,0,0,0,0,0,0,0.000456777,0,0.000114194,0,0,0,0,0,0.000342583,0,0,0,0
OTSUKA HOLDINGS,0.000243427,0.000243427,8.11425E-05,0.00227199,0,0.008519961,0.00097371,0.001541707,0.000243427,0.002190847,0,0.000486855,0.002028562,0,8.11425E-05,0.02904901,0.00032457,0,0,0,0,0,0.000162285,0.000486855,8.11425E-05,0,0,8.11425E-05,0.00032457,0.011116521,0,0,0.001135995,0,0.000405712,0.022801039,0.463567024,0.009250243,0.009737098,0.003894839,0.253975982,0.008601104,8.11425E-05,0.000162285,0,0.000243427,0.002353132,0.001379422,0.012252515,0,0.000567997,8.11425E-05,0,0,0,0.000243427,0.00032457,0.00129828,8.11425E-05,0.000162285,0.000162285,0.00032457,0,0,8.11425E-05,8.11425E-05,0,0,0,8.11425E-05,0.000162285,8.11425E-05,8.11425E-05,0,0.000162285,0.000243427,0.003164557,8.11425E-05,0.000567997,0.000162285,0.001460565,0.003489127,0.010954236,0.00064914,0.000486855,0.001703992,0,0.000243427,0.000405712,8.11425E-05,0.000892567,0,0,0,0,8.11425E-05,0,0.005193119,0,0.04633236,0.001541707,0.000486855,0,0.000162285,0.000243427,0.000486855,0,0,0,8.11425E-05,0.00227199,8.11425E-05,0.000405712,0.003489127,0.001217137,0,0,0.002758845,8.11425E-05,8.11425E-05,8.11425E-05,0,0,0.001460565,0,0,0,0,0,0.004219409,0.00032457,8.11425E-05,0.003002272,8.11425E-05,0,0.000162285,8.11425E-05,0,0.001866277,8.11425E-05,0,0,0.004543979,0,8.11425E-05,0,0.001866277,0.000486855,0,0,0,0,0,0.000162285,0,0,0.001135995,0,0,0.000730282,0.000162285,0.000243427,8.11425E-05,0,0.00194742,0.001217137,0.00064914,0,0,0.000567997,0.000243427,0.00097371,8.11425E-05,8.11425E-05,0,0,0,0,8.11425E-05,0,0,8.11425E-05,0,8.11425E-05,0.00032457,0.000162285,0.000486855,0,0.000162285,0,0,0.000162285,0,0,8.11425E-05,0.000811425,8.11425E-05,0,0,8.11425E-05,8.11425E-05,0,0,0,0,0.00032457,0,0.000162285,0,0.000162285,0,0,0.00032457,0.00097371,0,0.000486855,8.11425E-05,0.003083414,0,0.000405712,0,0,0.000730282,0.00064914,0.000162285,0,0,0,0,0,8.11425E-05,0.001054852,0.000243427,0,8.11425E-05,8.11425E-05,0,0.00032457,0,0.00032457,0.000486855,0.000162285,0,0.001217137,0.00064914,0,0,0.00227199,0,0.005679974,0,8.11425E-05,8.11425E-05,0,0.000567997,0.000486855,8.11425E-05,0,0,0,8.11425E-05,0.000243427,0,0.00032457,0,0.000243427,0.000243427,0.00032457,0.000162285,0.001541707,0.00032457,0.001703992
PEPTIDREAM INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
